,NAME,HLS Latency min,HLS Latency max,HLS Elapsed,HLS II min,HLS II max,HLS LUT,HLS FF,HLS Clock,HLS Target,HLS Estimated,HLS Uncertainty,HLS Slack,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E synth synth_design,E impl total,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%),HLS Target,HLS Estimated
204,I352_O016_D001_II1_M0_F1_IR1_R0,2,2,171:28:25,1,1,134521,6035,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-20.473,-7719.349,0.155,0.000,7.746,68724,5.81,6039,0.26,68724,5.81,0,0.00,00:19:12,00:44:34,00:02:04,00:00:26,00:01:37,00:11:58,00:00:16,00:00:00,00:00:10,00:00:00,00:00:13,00:00:54,00:25:31,00:00:19,00:00:05,00:19:35,00:00:18,Medium,NA,Unspecified*,2.547,5.199,0.5,29.2,95.8,NA,---,---,0,6436,400,6436,-7719.349,0,6039,0.000,2.850,0,0.00,250,0.04,0,0.00,0,0.00,6039,0.26,0,0.00,6.25 ns,29.365 ns
152,I352_O016_D001_II1_M0_F1_IR1_R1,2,2,175:28:49,1,1,134521,6035,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-20.473,-7719.349,0.155,0.000,7.746,68724,5.81,6039,0.26,68724,5.81,0,0.00,00:19:41,00:44:04,00:02:09,00:00:28,00:01:24,00:11:48,00:00:16,00:00:00,00:00:10,00:00:00,00:00:13,00:00:54,00:25:19,00:00:19,00:00:05,00:20:03,00:00:17,Medium,NA,Unspecified*,2.547,5.199,0.5,29.2,95.8,NA,---,---,0,6436,400,6436,-7719.349,0,6039,0.000,2.850,0,0.00,250,0.04,0,0.00,0,0.00,6039,0.26,0,0.00,6.25 ns,29.365 ns
66,I352_O016_D001_II1_M1_F1_IR0_R0,1,1,N/A,1,1,138457,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,NA,NA,NA,NA,5.701,56871,4.81,401,0.02,56871,4.81,0,0.00,00:11:55,00:27:06,00:01:59,00:00:21,00:00:13,00:04:50,00:00:15,00:00:00,00:00:11,00:00:00,00:01:15,00:02:07,00:10:33,00:00:18,00:00:05,00:12:17,00:00:17,Medium,NA,Unspecified*,2.516,3.185,0.5,28.1,96.9,NA,---,---,NA,NA,NA,NA,NA,0,401,0.000,2.850,0,0.00,9124,1.54,3840,1.30,0,0.00,401,0.02,0,0.00,6.25 ns,30.779 ns
65,I352_O016_D001_II1_M1_F1_IR0_R0_ER1,1,1,N/A,1,1,138457,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-28.252,-10357.577,0.231,0.000,6.240,65504,5.54,6046,0.26,65504,5.54,0,0.00,00:19:30,08:15:06,00:02:04,00:00:23,00:01:32,00:12:22,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:51,07:55:37,00:00:20,00:00:05,00:19:54,00:00:19,Medium,NA,Unspecified*,2.524,3.716,0.5,28.4,96.6,NA,---,---,0,801,617,801,-10357.577,0,6046,0.000,2.850,0,0.00,9042,1.53,3840,1.30,0,0.00,6046,0.26,0,0.00,6.25 ns,30.779 ns
64,I352_O016_D001_II1_M1_F1_IR0_R1,1,1,N/A,1,1,138457,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,NA,NA,NA,NA,5.739,57273,4.84,401,0.02,57273,4.84,0,0.00,00:12:02,00:26:31,00:01:57,00:00:21,00:00:17,00:04:50,00:00:16,00:00:00,00:00:10,00:00:00,00:01:20,00:02:04,00:10:05,00:00:15,00:00:05,00:12:23,00:00:16,Medium,NA,Unspecified*,2.516,3.223,0.5,28.1,96.9,NA,---,---,NA,NA,NA,NA,NA,0,401,0.000,2.850,0,0.00,9121,1.54,3840,1.30,0,0.00,401,0.02,0,0.00,6.25 ns,30.779 ns
63,I352_O016_D001_II1_M1_F1_IR0_R1_ER1,1,1,N/A,1,1,138457,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-23.356,-8328.306,0.148,0.000,6.465,65195,5.51,6045,0.26,65195,5.51,0,0.00,00:22:53,00:53:55,00:02:04,00:00:24,00:01:33,00:12:42,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:52,00:34:20,00:00:18,00:00:05,00:23:15,00:00:17,Medium,NA,Unspecified*,2.527,3.938,0.5,28.5,96.5,NA,---,---,0,801,400,801,-8328.306,0,6045,0.000,2.850,0,0.00,9049,1.53,3840,1.30,0,0.00,6045,0.26,0,0.00,6.25 ns,30.779 ns
106,I352_O016_D001_II1_M1_F1_IR1_R0,2,2,N/A,1,1,138457,6035,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-29.556,-10237.362,0.149,0.000,6.602,66727,5.64,6041,0.26,66727,5.64,0,0.00,00:30:24,08:55:51,00:02:03,00:00:22,00:01:20,00:11:52,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:50,08:37:20,00:00:20,00:00:05,00:30:48,00:00:19,Medium,NA,Unspecified*,2.529,4.073,0.5,28.6,96.4,NA,---,---,0,6440,421,6440,-10237.362,0,6041,0.000,2.850,0,0.00,9060,1.53,3840,1.30,0,0.00,6041,0.26,0,0.00,6.25 ns,30.779 ns
105,I352_O016_D001_II1_M1_F1_IR1_R1,2,2,N/A,1,1,138457,6035,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-25.822,-9406.773,0.220,0.000,6.608,69797,5.90,6036,0.26,69797,5.90,0,0.00,00:26:35,00:43:06,00:02:08,00:00:22,00:01:20,00:10:33,00:00:13,00:00:00,00:00:10,00:00:00,00:00:11,00:00:50,00:26:02,00:00:18,00:00:05,00:26:56,00:00:16,Medium,NA,Unspecified*,2.529,4.079,0.5,28.6,96.4,NA,---,---,0,6435,548,6435,-9406.773,0,6036,0.000,2.850,0,0.00,9051,1.53,3840,1.30,0,0.00,6036,0.26,0,0.00,6.25 ns,30.779 ns
203,I352_O016_D001_II4_M0_F1_IR0_R0,1,1,200:25:30,2,2,134532,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,4.172,0.000,0.089,0.000,7.874,70736,5.98,402,0.02,70736,5.98,0,0.00,00:11:49,00:24:17,00:02:02,00:00:24,,00:12:58,00:00:13,00:00:00,00:00:10,00:00:00,00:00:52,00:01:28,00:02:56,00:00:18,00:00:05,00:12:11,00:00:17,Medium,NA,Unspecified*,2.549,5.325,0.5,29.3,95.7,NA,---,---,0,402,0,402,0.000,0,402,0.000,2.850,0,0.00,200,0.03,0,0.00,0,0.00,402,0.02,0,0.00,6.25 ns,29.365 ns
202,I352_O016_D001_II4_M0_F1_IR0_R0_ER1,1,1,N/A,2,2,134532,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-20.225,-7522.054,0.053,0.000,8.009,73575,6.22,6052,0.26,73575,6.22,0,0.00,00:24:21,00:53:34,00:02:10,00:00:27,00:03:47,00:16:44,00:00:15,00:00:00,00:00:12,00:00:00,00:00:14,00:00:59,00:27:20,00:00:20,00:00:05,00:24:44,00:00:18,Medium,NA,Unspecified*,2.551,5.459,0.5,29.4,95.6,NA,---,---,0,801,400,801,-7522.054,0,6052,0.000,2.850,0,0.00,181,0.03,0,0.00,0,0.00,6052,0.26,0,0.00,6.25 ns,29.365 ns
