Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D002-freq320retfan10000,5696,1300,24,0,23,20,3,50,164,3,204,24,1,23,3.125,3.125,3.125,10.011,0.757,8.983,-7.006,2.303,-6.036,2.504(26%),0.096(13%),2.949(33%),7.507(74%),0.661(87%),6.034(67%)
../syn/I016_O016_D002-freq320retfan16,6063,1276,24,0,23,31,1,15,155,1,157,24,1,23,3.125,3.125,3.125,10.171,0.544,9.771,-7.137,2.443,-6.851,3.114(31%),0.096(18%),2.680(28%),7.057(69%),0.448(82%),7.091(72%)
../syn/I016_O016_D002-freq80retfan10000,5024,914,28,0,1,46,1,1,260,1,2,28,1,1,12.500,12.500,12.500,12.042,0.951,0.322,0.371,11.398,12.137,3.813(32%),0.097(11%),0.160(50%),8.229(68%),0.854(89%),0.162(50%)
../syn/I016_O016_D002-freq80retfan16,5599,958,31,0,21,34,1,16,211,1,141,31,1,21,12.500,12.500,12.500,12.040,1.081,9.313,0.280,11.319,3.012,3.580(30%),0.093(9%),2.628(29%),8.460(70%),0.988(91%),6.685(71%)
../syn/I016_O016_D002_BITONIC-freq100retfan10000,1288,0,21,0,0,32,2,1,140,2,1,22,1,0,10.000,0.000,10.000,7.980,0.459,0.558,1.876,inf,9.363,2.240(29%),0.096(21%),0.488(88%),5.740(71%),0.363(79%),0.070(12%)
../syn/I016_O016_D002_BITONIC-freq160retfan10000,1078,496,12,10,0,45,11,1,119,39,1,12,10,1,6.250,6.250,0.000,4.431,3.062,0.607,1.728,3.063,inf,1.350(31%),1.187(39%),0.096(16%),3.081(69%),1.875(61%),0.511(84%)
../syn/I016_O016_D002_BITONIC-freq320retfan10000,1425,623,8,0,0,4,2,1,23,2,1,8,1,1,3.125,3.125,0.000,2.918,0.359,0.523,0.040,2.717,inf,1.153(40%),0.098(28%),0.093(18%),1.765(60%),0.261(72%),0.430(82%)
../syn/I016_O016_D002_BITONIC_TOPVHDL-freq320retfan10000,1425,623,10,0,7,13,2,8,48,2,33,10,1,8,3.125,0.000,3.125,2.952,0.606,2.464,0.079,inf,0.551,1.055(36%),0.096(16%),0.783(32%),1.897(64%),0.510(84%),1.681(68%)
../syn/I016_O016_D002_BUCKET-freq80retfan10000,48069,527,349,0,0,219,1,1,5895,1,1,349,1,1,12.500,12.500,12.500,89.548,0.940,0.755,-76.954,11.446,11.481,35.007(40%),0.096(11%),0.096(13%),54.541(60%),0.844(89%),0.659(87%)
../syn/I016_O016_D002_CSN_VHDL-freq160retfan10000,861,500,9,0,0,26,1,1,45,1,1,9,1,1,6.250,6.250,0.000,4.080,0.366,0.279,1.967,5.865,inf,1.207(30%),0.093(26%),0.096(35%),2.873(70%),0.273(74%),0.183(65%)
../syn/I016_O016_D002_CSN_VHDL-freq160x320retfan10000,989,525,8,10,7,14,10,43,41,44,71,8,10,7,6.250,6.250,6.250,3.823,3.787,2.395,2.212,2.407,3.746,1.200(32%),1.143(31%),0.925(39%),2.623(68%),2.644(69%),1.470(61%)
