,NAME,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E impl total,E synth synth_design,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%)
99,I352_O016_D002_II4_M0_F1_IR1_R0,-7.366,-10683.657,0.050,0.000,5.532,69503,5.88,14284,0.60,69503,5.88,0,0.00,00:40:04,00:28:11,00:02:15,00:00:25,00:01:44,00:16:26,00:00:13,00:00:00,00:00:11,00:00:00,00:00:14,00:00:48,00:16:21,00:00:20,00:00:05,00:28:34,00:00:18,Medium,NA,Unspecified*,2.513,3.019,0.5,28.0,97.0,NA,---,---,0,22928,5916,22928,-10683.657,0,14284,0.000,2.850,0,0.00,447,0.08,5,<0.01,0,0.00,14284,0.60,0,0.00
71,I352_O016_D002_II4_M0_F1_IR1_R1,-7.366,-10683.657,0.050,0.000,5.532,69503,5.88,14284,0.60,69503,5.88,0,0.00,00:41:33,00:29:16,00:02:07,00:00:26,00:01:44,00:17:14,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:48,00:17:06,00:00:20,00:00:05,00:29:39,00:00:18,Medium,NA,Unspecified*,2.513,3.019,0.5,28.0,97.0,NA,---,---,0,22928,5916,22928,-10683.657,0,14284,0.000,2.850,0,0.00,447,0.08,5,<0.01,0,0.00,14284,0.60,0,0.00
23,I352_O016_D002_II4_M1_F1_IR0_R1,-11.550,-3856.568,0.063,0.000,5.321,59832,5.06,3828,0.16,59832,5.06,0,0.00,00:33:20,00:23:02,00:02:00,00:00:24,00:01:25,00:08:39,00:00:16,00:00:00,00:00:11,00:00:00,00:00:16,00:00:47,00:17:50,00:00:17,00:00:05,00:23:23,00:00:16,Medium,NA,Unspecified*,2.510,2.811,0.5,27.9,97.1,NA,---,---,0,4228,389,4228,-3856.568,0,3828,0.000,2.850,0,0.00,9095,1.54,3840,1.30,0,0.00,3828,0.16,0,0.00
34,I352_O016_D002_II4_M1_F1_IR1_R1,-13.107,-13989.161,0.044,0.000,4.993,56828,4.81,13749,0.58,56828,4.81,0,0.00,00:46:21,00:17:19,00:01:58,00:00:24,00:01:15,00:10:18,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:42,00:29:45,00:00:18,00:00:05,00:17:40,00:00:16,Medium,NA,Unspecified*,2.505,2.488,0.5,27.7,97.3,NA,---,---,0,21857,3808,21857,-13989.161,0,13749,0.000,2.850,0,0.00,9199,1.56,3840,1.30,0,0.00,13749,0.58,0,0.00
89,I352_O016_D003_II1_M0_F1_IR0_R0,-2.739,-1653.705,0.075,0.000,6.630,60166,5.09,12088,0.51,60166,5.09,0,0.00,00:32:48,00:20:58,00:02:01,00:00:24,00:01:15,00:09:06,00:00:13,00:00:00,00:00:10,00:00:00,00:00:13,00:00:38,00:17:24,00:00:17,00:00:05,00:21:19,00:00:16,Medium,NA,Unspecified*,2.530,4.100,0.5,28.6,96.4,NA,---,---,0,5477,911,5477,-1653.705,0,12088,0.000,2.850,0,0.00,375,0.06,0,0.00,0,0.00,12088,0.51,0,0.00
56,I352_O016_D003_II1_M0_F1_IR0_R1,-2.739,-1653.705,0.075,0.000,6.630,60166,5.09,12088,0.51,60166,5.09,0,0.00,00:33:20,00:21:24,00:02:02,00:00:24,00:01:18,00:09:05,00:00:15,00:00:00,00:00:12,00:00:00,00:00:14,00:00:39,00:17:45,00:00:18,00:00:05,00:21:45,00:00:16,Medium,NA,Unspecified*,2.530,4.100,0.5,28.6,96.4,NA,---,---,0,5477,911,5477,-1653.705,0,12088,0.000,2.850,0,0.00,375,0.06,0,0.00,0,0.00,12088,0.51,0,0.00
101,I352_O016_D003_II1_M0_F1_IR1_R0,-3.809,-2719.555,0.043,0.000,6.592,59094,5.00,17972,0.76,59094,5.00,0,0.00,00:32:41,00:18:49,00:02:03,00:00:24,00:01:13,00:09:42,00:00:14,00:00:00,00:00:11,00:00:00,00:00:12,00:00:37,00:16:43,00:00:18,00:00:05,00:19:11,00:00:17,Medium,NA,Unspecified*,2.529,4.063,0.5,28.6,96.4,NA,---,---,0,18370,1922,18370,-2719.555,0,17972,0.000,2.850,0,0.00,168,0.03,1,<0.01,0,0.00,17972,0.76,0,0.00
52,I352_O016_D003_II1_M0_F1_IR1_R1,-3.809,-2719.555,0.043,0.000,6.592,59094,5.00,17972,0.76,59094,5.00,0,0.00,00:32:51,00:18:58,00:02:02,00:00:25,00:01:12,00:09:31,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:38,00:17:05,00:00:18,00:00:05,00:19:20,00:00:17,Medium,NA,Unspecified*,2.529,4.063,0.5,28.6,96.4,NA,---,---,0,18370,1922,18370,-2719.555,0,17972,0.000,2.850,0,0.00,168,0.03,1,<0.01,0,0.00,17972,0.76,0,0.00
1,I352_O016_D003_II1_M1_F1_IR0_R0,-5.046,-3478.434,0.046,0.000,5.695,52730,4.46,13940,0.59,52730,4.46,0,0.00,00:53:52,00:16:55,00:02:00,00:00:22,00:01:43,00:09:32,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:37,00:37:31,00:00:19,00:00:05,00:17:17,00:00:17,Medium,NA,Unspecified*,2.516,3.180,0.5,28.1,96.9,NA,---,---,0,6672,1597,6672,-3478.434,0,13940,0.000,2.850,0,0.00,9242,1.56,3840,1.30,0,0.00,13940,0.59,0,0.00
10,I352_O016_D003_II1_M1_F1_IR0_R1,-5.728,-3442.864,0.048,0.000,5.757,53211,4.50,13947,0.59,53211,4.50,0,0.00,01:04:10,00:18:21,00:01:57,00:00:22,00:01:27,00:09:10,00:00:15,00:00:00,00:00:10,00:00:00,00:00:12,00:00:36,00:48:46,00:00:17,00:00:05,00:18:41,00:00:15,Medium,NA,Unspecified*,2.517,3.241,0.5,28.1,96.9,NA,---,---,0,6679,1423,6679,-3442.864,0,13947,0.000,2.850,0,0.00,9242,1.56,3840,1.30,0,0.00,13947,0.59,0,0.00
46,I352_O016_D003_II1_M1_F1_IR1_R0,-9.866,-4603.221,0.028,0.000,5.725,50610,4.28,19160,0.81,50610,4.28,0,0.00,08:56:58,00:17:11,00:02:00,00:00:21,00:01:06,00:10:09,00:00:16,00:00:00,00:00:10,00:00:00,00:00:12,00:00:37,08:40:43,00:00:19,00:00:05,00:17:34,00:00:18,Medium,NA,Unspecified*,2.516,3.209,0.5,28.1,96.9,NA,---,---,0,19567,2186,19567,-4603.221,0,19160,0.000,2.850,0,0.00,9201,1.56,3840,1.30,0,0.00,19160,0.81,0,0.00
27,I352_O016_D003_II1_M1_F1_IR1_R1,-5.947,-3735.528,0.042,0.000,5.737,53505,4.53,19168,0.81,53505,4.53,0,0.00,01:20:50,00:21:52,00:01:58,00:00:24,00:01:31,00:09:49,00:00:17,00:00:00,00:00:11,00:00:00,00:00:12,00:00:39,01:04:29,00:00:18,00:00:06,00:22:13,00:00:15,Medium,NA,Unspecified*,2.516,3.221,0.5,28.1,96.9,NA,---,---,0,19575,1984,19575,-3735.528,0,19168,0.000,2.850,0,0.00,7286,1.23,2880,0.97,0,0.00,19168,0.81,0,0.00
104,I352_O016_D003_II4_M0_F1_IR0_R0,-2.381,-1290.110,0.044,0.000,4.466,55967,4.73,9239,0.39,55967,4.73,0,0.00,00:32:33,00:17:25,00:02:02,00:00:23,00:01:22,00:09:31,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:38,00:16:33,00:00:18,00:00:05,00:17:46,00:00:16,Medium,NA,Unspecified*,2.498,1.968,0.5,27.4,97.6,NA,---,---,0,14290,919,14290,-1290.110,0,9239,0.000,2.850,0,0.00,270,0.05,0,0.00,0,0.00,9239,0.39,0,0.00
70,I352_O016_D003_II4_M0_F1_IR0_R1,-2.381,-1290.110,0.044,0.000,4.466,55967,4.73,9239,0.39,55967,4.73,0,0.00,00:31:18,00:17:22,00:02:01,00:00:23,00:01:17,00:09:10,00:00:15,00:00:00,00:00:10,00:00:00,00:00:13,00:00:36,00:15:49,00:00:18,00:00:05,00:17:43,00:00:16,Medium,NA,Unspecified*,2.498,1.968,0.5,27.4,97.6,NA,---,---,0,14290,919,14290,-1290.110,0,9239,0.000,2.850,0,0.00,270,0.05,0,0.00,0,0.00,9239,0.39,0,0.00
79,I352_O016_D003_II4_M0_F1_IR1_R0,-3.793,-2620.221,0.040,0.000,4.822,56375,4.77,17982,0.76,56375,4.77,0,0.00,00:35:15,00:14:00,00:02:03,00:00:26,00:01:30,00:10:21,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:35,00:18:22,00:00:18,00:00:05,00:14:23,00:00:18,Medium,NA,Unspecified*,2.503,2.319,0.5,27.6,97.4,NA,---,---,0,30276,1719,30276,-2620.221,0,17982,0.000,2.850,0,0.00,364,0.06,0,0.00,0,0.00,17982,0.76,0,0.00
